Name,Latitude,Longitude,Location,Year of data collection,Year_dammed,Reservoir_age_yr,Surface_area(km2),mean_depth(m),vol(km3),residence_time(yr),discharge_km3/yr,Purpose,TP_Conc_in_(uM),TP_Conc_out_(uM),TPin(mol/yr),TPout(mol/yr),TP_Retention,Catchment dominant lithology (Hartmann and Moosdorf 2012),Outflow_type,2nd_P_species,2nd_p_conc_in_ (uM),2nd_P_conc_out(uM),2nd_P_influx(mol/yr),2nd_P_efflux(mol/yr),2nd_P_retention,Additional notes,References
Acton_Lake,39.57,-84.74,Ohio (USA),,,55,2.40,3.9,0.01,0.12,0.078,flow,7.90,5.43,6.15E+05,4.23E+05,0.31,Carbonate,,,,,,,,,"Vani et al., 2011"
Al_Massira,32.47,-7.63,Morocco,1991,1979,12,129.62,18.7,2.42,1.51,1.603,pump,11.55,1.04,1.85E+07,1.67E+06,0.90,Carbonate,Bottom,,,,,,,Hejzlar database,Alaoui-Mhamdi&Aleya 1995
ALLATOONA,34.16,-84.727,Georgia (USA),1972-1976,1950,24,48.60,9.1,0.44,0.16,2.799,pump,2.47,0.83,6.90E+06,2.32E+06,0.66,Carbonate,Bottom,,,,,,,Hejzlar database,Walker 1985
ALLEGHENY_(KINZUA),41.84,-79.003,USA,1972-1976,1965,9,85.70,13.2,1.13,0.17,6.815,flow,1.49,1.00,1.01E+07,6.80E+06,0.33,Siliclastic_sed,Mixed,,,,,,,Hejzlar database,Walker 1985
Amance,48.20,4.47,France,,,4,0.50,4.5,0.00,0.03,0.075,flow,17.51,11.48,1.31E+06,8.61E+05,0.34,Carbonate,,TDP,0.057,0.029,4.25E+03,2.15E+03,0.49,,Garnier et al 1999
Anarbe,43.22,-1.87,Spain,79-80,1976,3.5,1.32,25.7,0.03,0.41,0.083,pump,0.43,0.29,3.55E+04,2.40E+04,0.32,,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
Artikutza,43.20,-1.78,Spain,79-80,1962,17.5,0.11,10.9,0.00,0.07,0.016,pump,0.39,0.42,6.46E+03,6.88E+03,-0.07,Mixed_seds,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
ASHTABULA_(BALDHILL),47.03,-98.083,North_Dakota (USA),1972-1977,1951,23,21.20,3.8,0.08,0.49,0.164,pump,9.94,7.23,1.63E+06,1.19E+06,0.27,Unconsol_seds,Bottom,,,,,,,Hejzlar database,Walker 1985
ATWOOD,40.53,-81.285,USA,1972-1976,1940,34,8.00,4.4,0.04,0.30,0.117,flow,2.94,0.89,3.43E+05,1.03E+05,0.70,Siliclastic_sed,Surface,,,,,,,Hejzlar database,Walker 1985
Aube,48.20,4.47,France,1994-95,,4,21.00,8.9,0.19,0.40,0.467,flow,1.88,0.83,5.81E+05,3.55E+05,0.39,Carbonate,,TDP,0.009,0.003,4.25E+03,1.55E+03,0.64,,Garnier et al 1999
Azután,39.77,-5.08,Spain,80-81,1969,11.5,6.52,9.0,0.06,0.04,1.473,pump,68.34,57.02,1.01E+08,8.40E+07,0.17,Siliclastic_sed or Acid_plutonic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
BANKHEAD,33.45,-87.349,USA,1972-1976,1915,59,35.48,9.3,0.33,0.04,8.684,flow,2.09,1.69,1.81E+07,1.47E+07,0.19,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Walker 1985
BARKLEY,37.02,-88.221,USA,1972-1976,1966,8,230.00,5.0,1.15,0.02,50.000,flow,4.30,3.97,2.15E+08,1.99E+08,0.08,"Carbonate,Unconsol_seds",Mixed,,,,,,,Hejzlar database,Walker 1985
BARREN_RIVER,36.89,-86.124,USA,1972-1976,1964,10,41.00,7.9,0.32,0.16,2.050,flow,2.19,1.51,4.48E+06,3.10E+06,0.31,Carbonate,Bottom,,,,,,,Hejzlar database,Walker 1985
Bavigne(Lac_de_la_Haute_Sure),49.90,5.87,Luxemberg.,1989-90,,,0.24,7.1,0.00,0.12,0.014,flow,5.71,1.15,7.81E+04,1.57E+04,0.80,Mixed_seds,Surface,,,,,,,Hejzlar database,Salvia-Castelvi et al. 2001
BEACH_CITY,40.63,-81.558,USA,1972-1976,1936,38,1.70,1.5,0.00,0.01,0.196,flow,8.64,6.74,1.69E+06,1.32E+06,0.22,Siliclastic_sed,Surface,,,,,,,Hejzlar database,Walker 1985
BEAVER,36.42,-93.847,USA,1972-1976,1966,8,114.10,17.8,2.03,0.96,2.127,flow,2.04,0.52,4.35E+06,1.11E+06,0.74,Carbonate,Mixed,,,,,,,Hejzlar database,Walker 1985
BELTZVILLE,40.85,-75.638,USA,1972-1976,1972,2,1.56,13.5,0.02,0.25,0.086,pump,0.45,0.36,3.89E+04,3.05E+04,0.21,Siliclastic_sed,Surface,,,,,,,Hejzlar database,Walker 1985
BERLIN,41.05,-81.002,USA,1972-1976,1943,31,14.53,5.1,0.07,0.22,0.331,pump,12.10,1.86,4.00E+06,6.14E+05,0.85,Siliclastic_sed,Mixed,,,,,,,Hejzlar database,Walker 1985
BLUES_TONE,37.64,-80.887,USA,1972-1976,1949,25,8.30,9.8,0.08,0.02,3.873,flow,1.50,1.48,5.80E+06,5.71E+06,0.02,Siliclastic_sed,,,,,,,,Hejzlar database,Walker 1985
Bort-les-orgue,45.40,2.5,France,1996-1997,,44,8.58,33,0.28,0.25,1.133,flow,3.39,1.63,3.91E+06,1.87E+06,0.52,Metamorphic or Basic_volcanic,,TDP,0.051,0.029,5.80E+04,3.30E+04,0.43,,Brigault and Ruban 1999; Ruban and Demare 1998
Broa,-22.20,-47.87,Brazil,,,64,3.00,3,0.01,0.08,0.110,flow,0.96,0.81,1.05E+05,8.93E+04,0.15,Siliclastic_sed,,,,,,,,,Miranda & Matvienko 2003
BULL_SHOALS,36.37,-92.572,USA,1972-1976,1951,23,182.70,20.9,3.82,0.44,8.738,flow,0.61,0.40,5.30E+06,3.47E+06,0.35,Carbonate,Mixed,,,,,,,Hejzlar database,Walker 1985
Burvattnet,64.00,13.33,Sweden,,,59,13.20,43,0.55,3.90,0.141,unknown,0.13,0.13,1.87E+04,1.82E+04,0.02,"Acid_volcanic,Acid_plutonic",,,,,,,,Uses discharge calcuated from retention time and volume,"Rydin et al., 2008"
Calhan,38.63,-104.65,Colorado,1973-75,,,0.08,2.0,0.00,0.30,0.001,flow,4.21,3.10,2.31E+03,1.70E+03,0.26,,,,,,,,,Hejzlar database,Schreiber&Rausch 1979
CANYON,29.87,-98.198,USA,1972-1976,1964,10,33.31,13.5,0.45,0.58,0.782,flow,0.64,0.36,5.02E+05,2.83E+05,0.44,Carbonate,Bottom,,,,,,,Hejzlar database,Walker 1985
CARLYLE,38.62,-89.351,USA,1972-1976,1958,16,105.20,3.6,0.38,0.12,3.079,flow,6.47,3.88,1.99E+07,1.19E+07,0.40,Carbonate,Mixed,,,,,,,Hejzlar database,Walker 1985
Castrejón,39.85,-4.28,Spain,80-81,1967,13.5,4.85,5.5,0.03,0.02,1.325,pump,81.01,67.06,1.07E+08,8.89E+07,0.17,Metamorphic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
Ceske_udoli_bottom_outlets,49.72,13.35,Czech_Republic,1997,,24,1.04,2.55,0.00,0.04,0.070,flow,11.56,6.91,8.62E+08,5.00E+08,0.42,,Surface,DP,5.460,1.580,3.81E+05,1.10E+05,0.71,annual redox oscillations due to draining/filling regime,Duras and Hejzlar 2001
Ceske_udoli_surface_outlets,49.72,13.35,Czech_Republic,1998,,25,1.04,2.55,0.00,0.06,0.042,flow,14.72,11.36,5.42E+08,4.52E+08,0.17,,Bottom,DP,8.850,7.100,3.72E+05,2.99E+05,0.20,annual redox oscillations due to draining/filling regime,Duras and Hejzlar 2001
Champaubert,48.30,4.73,France,,,20,0.50,3.5,0.00,0.11,0.016,flow,16.23,10.15,2.58E+05,1.61E+05,0.38,Carbonate,,TDP,1.094,0.758,1.74E+04,1.21E+04,0.31,,Garnier et al 1999
CHARLES_MILL,40.74,-82.363,USA,1972-1977,1936,38,5.46,1.7,0.01,0.04,0.265,flow,5.63,5.00,1.49E+06,1.33E+06,0.11,Siliclastic_sed,Surface,,,,,,,Hejzlar database,Walker 1985
Chatuge,35.02,-83.78,North_Carolina (USA),1974-1976,1942,33,23.90,9.5,0.23,0.44,0.520,flow,0.68,0.52,3.53E+05,2.69E+05,0.23,"Metamorphic,Siliclastic_sed",Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Cherokee,36.15,-83.48,Tennessee (USA),1974-1976,1941,34,77.90,13.9,1.08,0.22,5.002,flow,5.00,1.07,2.50E+07,5.33E+06,0.78,Carbonate,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Chickamauga,35.10,-85.22,Tennessee (USA),1974-1976,1940,35,122.20,5.0,0.61,0.02,36.393,flow,0.84,0.87,3.05E+07,3.17E+07,-0.06,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
CLARK_HILL,33.66,-82.199,USA,1972-1976,1952,22,288.00,10.7,3.08,0.26,11.717,pump,1.84,0.79,2.15E+07,9.27E+06,0.57,Metamorphic,Bottom,,,,,,,Hejzlar database,Walker 1985
CUMBERLAND_(WOLF_CREEK),36.87,-85.145,USA,1972-1976,1952,22,265.20,22.4,5.94,0.29,20.627,flow,1.87,1.09,3.86E+07,2.26E+07,0.41,Carbonate,Bottom,,,,,,,Hejzlar database,Walker 1985
DALE_HOLLOW,36.54,-85.441,USA,1972-1976,1943,31,111.40,14.5,1.62,0.68,2.389,flow,0.61,0.27,1.45E+06,6.40E+05,0.56,Carbonate,Bottom,,,,,,,Hejzlar database,Walker 1985
DEER_CREEK,39.62,-83.216,Ohio (USA),1972-1976,1968,6,12.00,3.1,0.04,0.04,1.063,flow,8.70,5.61,9.25E+06,5.96E+06,0.36,Carbonate,,,,,,,,Hejzlar database,Walker 1985
DELAWARE,40.36,-83.069,USA,1972-1976,1951,23,5.26,3.5,0.02,0.03,0.736,flow,5.49,4.16,4.04E+06,3.06E+06,0.24,Siliclastic_sed or Carbonate,Surface,,,,,,,Hejzlar database,Walker 1985
Douglas,35.95,-83.53,Tennessee (USA),1974-1976,1943,32,78.90,10.7,0.85,0.12,7.282,flow,2.16,1.07,1.58E+07,7.76E+06,0.49,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Driss_I,35.00,-5,Morocco,1991-1992,1973,18.5,57.00,6.1,0.35,2.09,0.166,pump,17.72,0.99,2.95E+06,1.64E+05,0.94,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Alaoui-Mhamdi et al. 1996
DWORSHAK,46.52,-116.299,USA,1972-1976,1973,2,69.20,57.5,3.98,0.60,6.599,flow,0.64,0.54,4.22E+06,3.54E+06,0.16,Unconsol_seds,Mixed,,,,,,,Hejzlar database,Walker 1985
Eau_Galle,44.70,-92.23,Wisconsin (USA),,,18,0.60,3.2,0.00,0.66,0.003,flow,113.81,62.71,3.33E+05,1.84E+05,0.45,Siliclastic_sed,,,,,,,,,James and Barko 1997
El_Atazar,40.90,-3.52,Spain,78-81,1972,7.5,9.32,39.0,0.36,1.85,0.197,pump,0.75,0.69,1.48E+05,1.36E+05,0.16,Mixed_seds or Acid_plutonic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
El_Burguillo,40.42,-4.57,Spain,1978-81,1913,66.5,5.08,23.4,0.12,0.36,0.328,pump,2.62,1.95,8.58E+05,6.39E+05,0.25,"Unconsol_seds,Siliclastic_sed,Acid_plutonic",,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
ENID,34.16,-89.903,USA,1972-1976,1952,22,24.70,5.6,0.14,0.31,0.448,flow,9.36,2.09,4.19E+06,9.34E+05,0.78,Siliclastic_sed,Mixed,,,,,,,Hejzlar database,Walker 1985
F_J_SAYERs,41.05,-77.604,USA,1972-1976,1971,3,7.00,4.6,0.03,0.05,0.685,flow,7.33,2.69,5.02E+06,1.84E+06,0.63,Siliclastic_sed,Mixed,,,,,,,Hejzlar database,Walker 1985
Falcon,26.60,-99.23,Texas (USA)/Mexico,,,44,338.50,11.5,3.90,1.00,3.900,pump,NA,NA,NA,NA,NA,,,SRP,,,1.61E+04,6.46E+02,0.96,,Kelly 2001
Fenéki-Pond,47.05,16.8,Hungary,1985-1990,1984,3.5,51.00,1.2,0.06,0.25,0.243,flow,7.48,7.82,1.81E+06,1.90E+06,-0.05,Unconsol_seds,,,,,,,,Hejzlar database,Pomogyi 1993
Fontana,35.45,-83.78,North_Carolina (USA),1974-1976,1944,31,31.30,37.8,1.18,0.28,4.207,flow,1.45,0.48,6.11E+06,2.04E+06,0.66,"Metamorphic,Siliclastic_sed",Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
Fort_Loudoun,35.78,-84.23,Tennessee (USA),1974-1976,1943,32,54.50,7.3,0.40,0.03,14.822,flow,1.42,1.61,2.11E+07,2.39E+07,-0.13,Carbonate,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
FORT_SUPPLY,36.55,-99.571,USA,1972-1976,1942,32,7.28,2.3,0.02,0.71,0.024,flow,2.69,1.66,6.37E+04,3.92E+04,0.38,Siliclastic_sed,,,,,,,,Hejzlar database,Walker 1985
Gross,39.95,-105.36,Colorado (USA),,,25,1.68,30.7,0.05,0.29,0.178,flow,0.42,0.49,7.46E+04,8.71E+04,-0.17,Metamorphic or Siliclastic_sed,,,,,,,,as above,LaBaugh and Winter 1984
Guajaraz,39.78,-4.08,Spain,1978-81,1971,8.5,1.28,10.1,0.01,1.02,0.013,pump,4.70,1.89,5.98E+04,2.41E+04,0.48,Metamorphic,,,,,,,,Hejzlar database,Ortiz&Pe?a 1984
Guntersville,34.42,-86.38,USA,1974-1976,1939,36,261.30,4.2,1.11,0.02,45.002,flow,1.23,0.94,5.52E+07,4.21E+07,0.24,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
HARLAN_COUNTY,40.07,-99.208,USA,1972-1976,1951,23,53.62,6.9,0.37,1.91,0.194,pump,14.78,3.97,2.87E+06,7.71E+05,0.73,"Siliclastic_sed,Unconsol_seds",Bottom,,,,,,,Hejzlar database,Walker 1985
Hartbeespoort_Dam,-25.72,27.85,South_Africa,1981-85,1969,14,12.65,9.0,0.11,0.92,0.124,pump,65.27,20.04,8.06E+06,2.47E+06,0.69,"Siliclastic_sed,Carbonate",,,,,,,,Hejzlar database,Thornton&Ashton1989
HARTWELL,34.36,-82.822,USA,1972-1976,1962,12,91.50,13.8,1.26,0.54,2.351,flow,2.08,0.29,4.90E+06,6.91E+05,0.86,Metamorphic,Bottom,,,,,,,Hejzlar database,Walker 1985
Hidvégi-Pond,47.00,16.8,Hungary,1985-1990,1985,2.5,18.00,1.1,0.02,0.11,0.188,flow,17.58,7.48,3.30E+06,1.41E+06,0.57,Unconsol_seds,,,,,,,,Hejzlar database,Pomogyi 1993
HILLS_CREEK,43.71,-122.423,USA,1972-1976,1961,13,11.10,37.2,0.41,0.29,1.434,flow,1.29,1.15,1.85E+06,1.64E+06,0.11,Basic_volcanic,,,,,,,,Hejzlar database,Walker 1985
Hiwassee,35.15,-84.17,USA,1974-1976,1940,35,17.00,20.2,0.34,0.15,2.258,flow,0.68,0.55,1.53E+06,1.24E+06,0.17,Siliclastic_sed,Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
HoaBinhReservoir,20.48,105.32,Vietnam,,,9,208.00,45.67,9.50,0.09,108.000,flow,4.42,1.70,4.78E+08,1.84E+08,0.61,Carbonate,,,,,,,,,Le Thi Phuong et al 2010
HOLT,33.25,-87.45,Alabama (USA),1972-1976,1966,8,13.35,11.0,0.15,0.01,10.489,flow,1.26,1.09,1.32E+07,1.15E+07,0.13,Siliclastic_sed or Unconsol_seds,Bottom,,,,,,,Hejzlar database,Walker 1985
Iron_Gate,44.40,22.5,Romania,,,29,156.40,17.26,2.70,0.03,89.982,flow,5.35,5.92,4.81E+08,5.33E+08,-0.11,Intermed_plutonic or Siliclastic_sed,,TDP,0.063,0.107,5.70E+06,9.60E+06,-0.68,,Teodoru and Wehrli 2005
J_PERCY_PRIEST,36.15,-86.617,USA,1972-1976,1968,6,57.50,8.3,0.48,0.21,2.283,flow,4.86,3.30,1.11E+07,7.54E+06,0.32,Mixed_seds,Mixed,,,,,,,Hejzlar database,Walker 1985
JOHN_H_KERR,36.60,-78.301,USA,1972-1976,1953,21,200.00,9.3,1.86,0.25,7.592,flow,4.36,0.83,3.31E+07,6.30E+06,0.81,Acid_plutonic,Bottom,,,,,,,Hejzlar database,Walker 1985
John_Mack_Lake,-18.30,29.88,Zimbabwe,,,5,4.85,4.3,0.02,0.20,0.104,pump,,NA,NA,NA,,Metamorphic,,TRP = SRP + PRP,,,4.29E+05,3.58E+05,0.17,,Thornton 1980
JOHN_REDMOND_1,38.24,-95.768,Kansas (USA),1972-1976,1964,10,32.70,2.5,0.08,0.06,1.486,pump,12.30,5.74,1.83E+07,8.53E+06,0.53,Siliclastic_sed or Carbonate,Mixed,,,,,,,Hejzlar database,Walker 1985
John_Redmond_2,38.57,-95.77,Kansas (USA),,,27,32.70,1.8,0.06,0.08,0.709,pump,13.74,4.58,9.74E+06,3.25E+06,0.53,Siliclastic_sed or Carbonate,,,,,,,,19% of Q accounted for,Cunha et al 2014; Walker 1985 (Hejzlar)
JOHN_W_FLANNAGAN,37.23,-82.348,USA,1972-1976,1964,10,4.63,19.5,0.09,0.32,0.286,flow,2.52,0.40,7.20E+05,1.13E+05,0.84,Siliclastic_sed,,,,,,,,Hejzlar database,Walker 1985
Jordan,49.42,14.67,Czech_Republic,2000,1492,508,0.49,5.2,0.00,0.30,0.008,pump,3.99,4.12,3.36E+04,3.46E+04,-0.03,Metamorphic,Surface,,,,,,,Hejzlar database,"Hejzlar, unpublished"
Kanopolis,38.62,-97.97,Kansas (USA),,,43,13.80,4.6,0.06,0.25,0.254,pump,7.76,2.72,1.97E+06,6.92E+05,0.67,Unconsol_seds,,,,,,,,88% of Q accounted for,Cunha et al 2014
Kentucky,37.00,-88.27,USA,1974-1976,1944,31,583.40,5.0,2.90,0.04,75.781,flow,2.39,2.42,1.81E+08,1.83E+08,-0.04,"Unconsol_seds,Carbonate",Bottom,,,,,,,Hejzlar database,Higgins&Kim 1981
KEYSTONE,36.15,-96.251,USA,1972-1976,1968,6,105.20,8.1,0.85,0.07,12.911,flow,12.62,3.54,1.63E+08,4.57E+07,0.72,Siliclastic_sed,,,,,,,,Hejzlar database,Walker 1985
Lake_Diefenbaker,51.00,-106.65,Saskatchewan (Canada),2008-2011,1967,42,394.00,22,9.03,1.10,8.210,pump,NA,NA,1.08E+08,6.50E+06,0.94,Siliclastic_sed,Mixed,TDP,,,4.33E+06,2.42E+06,0.44,SRP also available in reference.,"Donald et al., 2015"
Lake_McIlwaine,-17.90,30.8,Zimbabwe,,,26,26.30,9.4,0.25,0.90,0.275,pump,,NA,NA,NA,NA,Metamorphic,,TRP = SRP + PRP,,,2.41E+06,1.08E+06,0.55,,Thornton 1980
Lake_Mead,36.40,-114.39,USA,,,62,640.00,40,25.60,2.60,9.800,pump,NA,NA,NA,NA,NA,Acid_plutonic,,SRP,,,4.84E+03,3.23E+03,0.33,,Kelly 2001
Lake_Powell,36.90,-111.48,USA,,,29,658.00,40,26.30,2.30,11.400,pump,,NA,NA,NA,NA,Siliclastic_sed,,SRP,,,1.29E+04,2.91E+03,0.77,,Kelly 2001
Lake_Robertson,-17.80,30.57,Zimbabwe,,,2,81.00,6,0.49,1.10,0.442,pump,,NA,NA,NA,NA,Metamorphic,,TRP = SRP + PRP,,,1.61E+06,4.26E+05,0.74,,Thornton 1980
